Section,Group,ID,PRIO,Trigger,InitiativeName,Description,RequestedAmount,RequestType,RowID,RequestedOPEX,RequestedCAPEX
Functional,GEHS,65,9,Legal Compliance,EHS legal Compliance project,"Enhesa License for continued roll out and for implemented 2025 scope of countries.",2200,OPEX,F01,,
Functional,GQ,36,31,Functional Strategy Deployment & Must Win Battles,Quality Academy (AI),"Articulate Rise AI training creator. 1500 USD/year",13,OPEX,F02,,
Functional,GQ,36,31,Functional Strategy Deployment & Must Win Battles,Quality Academy (AI),Synthesia licence,10,OPEX,F03,,
Functional,GSC,128,16,Strategic Bet,Feasibility Strategy Allentown,"+ 10.000 euro for O8 planning tool from Service",75,OPEX,F04,,
Functional,GSC,68,17,End of Life (EOL),Reporting and BW -> SAC,External consultant BI GSC Part,300,OPEX,F05,,
Functional,GSC,89,20,Continued initiative approved last year,Agile VPC - process mining continuation and expansion,1 HC in Process Intelligence team in Group Supply chain,500,OPEX,F06,,
Functional,GSC,30,83,Continued initiative approved last year,Strategic Planning Process - Capacity planning tool into SAP IBP,"Implement Consulting Group: SAP IBP Strategic Planning implementation. We have the license already so No new license fees.",1500,CAPEX,F07,,
Functional,GP,69,6,Strategic Bet,Risk Assessment - Everstream,One-time implementation fee,895,CAPEX,F08,,
Functional,GP,69,6,Strategic Bet,Risk Assessment - Everstream,Subscription fee (yearly),1245,OPEX,F09,,
Functional,GP,70,10,End of Life (EOL),S2P continuation,Accenture Fee,300,CAPEX,F10,,
Functional,GP,70,10,End of Life (EOL),S2P continuation,Subscription 5.4M DKK,5600,OPEX,F11,,
Functional,GAME,121,4,Legal Compliance,OT Security & NIS2,"Compliance support: Introducing tools Hardware setup (test and verification); Deploy backup and recovery system; Training towards divisions",1200,OPEX,F12,,
Functional,GAME,62,11,End of Life (EOL),BW -> SAC transformation,External consultants to support the transition,300,OPEX,F13,,
Functional,GAME,119,22,Continued initiative approved last year,Traceability Implementation in Divisions,Support of solution roll-out,300,OPEX,F14,,
Functional,GAME,51,29,Continued initiative approved last year,AI/AA Manufacturing Pool,In order to keep the catalogue active and running.,50,OPEX,F15,,
Functional,GAME,99,32,Digital Operations Priority (short term impact),AI-powered MES data insight,Development of solution,300,OPEX,F16,,
Functional,GAME,99,32,Digital Operations Priority (short term impact),AI-powered MES data insight,Support Maintenance of solution Technical support Updates,100,OPEX,F17,,
Functional,GAME,118,35,Digital Operations Priority (Long term impact),IIOT Architecture - Unified Namespace,Funding any costs for building a demo in the project,300,OPEX,F18,,
Functional,GAME,147,36,Digital Operations Priority (short term impact),Group AME Open Pool for Digital Innovation: AI Agents Advanced Robotics Al Vision,Innovation Pool,500,OPEX,F19,,
Functional,GAME,41,39,Digital Operations Priority (Long term impact),Grundfos Equipment Engineering Standard for Connectivity Interface,"Design (purchase) PLC template connectivity template digital system template. Build sandbox for testing.",500,CAPEX,F20,,
Functional,GAME,41,39,Digital Operations Priority (Long term impact),Grundfos Equipment Engineering Standard for Connectivity Interface,"Implement standard interfaces to a new equipment build interfaces for both PLC connectivity provide data transfer between production line and other digital systems like MES traceability other data solutions",200,OPEX,F21,,
Functional,GROUP OPS,44,19,Continued initiative approved last year,Smart Performance Management Roll out,"Budget transfer for 1 Senior BI Developer in DK - based on IS Proxy.",800,OPEX,F22,,
Functional,GROUP OPS,38,20,Continued initiative approved last year,Agile VPC - process mining continuation and expansion,"Celonis Quality Management Module. Scope: SAP QM related DATA 62.500€/year",470,OPEX,F23,,
Divisional,CBS,193,15,End of Life (EOL),C3 Scape 2026 (Production PC Replacement),CBS,1000,CAPEX,D01,,
Divisional,CBS,115,26,Continued initiative approved last year,X-pick 2026 Implementation (Changshu Sunderland & Fresno DBS),Changshu (CBS) 10 User licenses,34,OPEX,D02,,
